NAME,CATEGORY,ADDRESS,CITY,REGION,ZIP CODE,PHONE,EMAIL,WEBSITE,SCORE,RATINGS,FACEBOOK,INSTAGRAM,LINKEDIN,TWITTER,MAIN IMAGE URL,DESCRIPTION,ABOUT,OPENING HOURS
TRIAXIS Printing - 3d printing services,3D printing service,"7208 Hibbs Ln, Levittown, PA 19055",Levittown,Pennsylvania,19055,12679904329.0,,,5.0,4.0,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,"Monday: 8 AM–3 PM, Tuesday: 8 AM–3 PM, Wednesday: 8 AM–3 PM, Thursday: 8 AM–3 PM, Friday: 8 AM–3 PM, Saturday: 12 AM–3:15 PM, Sunday: Closed"
FNS 3D Printing,3D printing service,"136 Goldenridge Dr, Levittown, PA 19057",Levittown,Pennsylvania,19057,12158284290.0,,,5.0,1.0,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,
Infinity 3D,3D printing service,"Kuser Rd, Hamilton Township, NJ 08619",Hamilton Township,New Jersey,8619,16093185288.0,,http://www.infinity3d.tech/,5.0,3.0,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,"Monday: 3–9 PM, Tuesday: 3–9 PM, Wednesday: 3–9 PM, Thursday: 3–9 PM, Friday: 3–9 PM, Saturday: 12–5 PM, Sunday: 12–5 PM"
3D Printing Service LLC,3D printing service,"105 N Grove Ave, National Park, NJ 08063",National Park,New Jersey,8063,12154261510.0,,,4.0,1.0,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,"Monday: 10 AM–5 PM, Tuesday: 10 AM–5 PM, Wednesday: 10:30 AM–5 PM, Thursday: 10 AM–5 PM, Friday: 10 AM–5 PM, Saturday: Closed, Sunday: Closed"
Melodi's 3D Art,3D printing service,"38 Beechfern Ln, Willingboro, NJ 08046",Willingboro,New Jersey,8046,16099204042.0,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,
Third Dimension Printing,"Commercial printer, Copy shop, Print shop","100 Main St Unit 1B, Tullytown, PA 19007",Tullytown,Pennsylvania,19007,12159687900.0,,http://www.thirddimensionprint.com/,5.0,3.0,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,"Monday: 8:45 AM–5:15 PM, Tuesday: 8:45 AM–5:15 PM, Wednesday: 8:45 AM–5:15 PM, Thursday: 8:45 AM–5:15 PM, Friday: 8:45 AM–5:15 PM, Saturday: Closed, Sunday: Closed"
JC 3D,3D printing service,"1440 Center St, Levittown, PA 19057",Levittown,Pennsylvania,19057,12153602055.0,,,,,,,,,,,,
3DSMAN,Computer service,"3000 Atrium Way, Mt Laurel Township, NJ 08054",Mt Laurel Township,New Jersey,8054,16304519033.0,,http://3dsman.com/contact-us/,,,https://www.facebook.com/olarklivechat,https://www.instagram.com/olarklivechat,https://www.linkedin.com/company/469764,https://twitter.com/olark,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,
Pixing3D Printing,3D printing service,"16 Whippoorwill Dr, Sicklerville, NJ 08081",Sicklerville,New Jersey,8081,,,https://www.pixing3d.com/,5.0,1.0,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,"Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM, Saturday: Closed, Sunday: Closed"
Trinity 3D,3D printing service,"633B Buermann Ave, Toms River, NJ 08753",Toms River,New Jersey,8753,17326042627.0,,,,,,,,,,,,"Monday: 9 AM–9 PM, Tuesday: 9 AM–9 PM, Wednesday: 9 AM–9 PM, Thursday: 9 AM–9 PM, Friday: 9:30 AM–9 PM, Saturday: 9 AM–9 PM, Sunday: Closed"
Zion 3D Print,3D printing service,"1540 E 17th Ave, Anchorage, AK 99501",Anchorage,Alaska,99501,18087457062.0,,,,,,,,,,,,
Tangent 3D Printing & Design,3D printing service,"1941 Fyfe Cir, Anchorage, AK 99507",Anchorage,Alaska,99507,19079473038.0,,,5.0,1.0,,,,,,,,"Monday: 8 AM–5 PM, Tuesday: 8 AM–5 PM, Wednesday: 8 AM–5 PM, Thursday: 8 AM–5 PM, Friday: 8 AM–5 PM, Saturday: Closed, Sunday: Closed"
Arctic 3D Foundry,3D printing service,"161 Jelinek Pl, Anchorage, AK 99504",Anchorage,Alaska,99504,19072423804.0,,,5.0,4.0,,,,,,,,"Monday: 4–10 PM, Tuesday: 4–10 PM, Wednesday: 4–10 PM, Thursday: 4–10 PM, Friday: 4–10 PM, Saturday: 12–6 PM, Sunday: 1–6 PM"
Northern Duplicating Inc.,"Digital printing service, Blueprint service, Copy shop, Lamination service, Print shop","4011 Arctic Blvd STE 103, Anchorage, AK 99503",Anchorage,Alaska,99503,19075614060.0,,http://www.northernduplicating.com/,5.0,5.0,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,"Monday: 8 AM–5 PM, Tuesday: 8 AM–5 PM, Wednesday: 8 AM–5 PM, Thursday: 8 AM–5 PM, Friday: 8 AM–5 PM, Saturday: Closed, Sunday: Closed"
Minuteman Press - Anchorage,"Commercial printer, Copy shop, Decal supplier, Graphic designer, Mailing service, Print shop, Rubber stamp store, Sign shop, Sticker manufacturer","237 N Orca St, Anchorage, AK 99501",Anchorage,Alaska,99501,19075612679.0,askus@minutemanpress.com,http://www.anchorage.minutemanpress.com/,4.8,83.0,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqDZp5kVuq5PZm0fP-YLyinWkblB5jTwTOjRfgieE5Qo6a7IFsag7amnPdwVLB66T6Mz1bVaZRSxHk8pUWErfHMO5o_2OXe5q4P7EWvvVnkLKyXG7z59d86JaJ5UzXiwXV5V9zWbA,"Chain with a range of print-related products & services, including business cards & signage.","Mainstay for printing & related services Chain with a range of print-related products & services, including business cards & signage.","Monday: 9 AM–6 PM, Tuesday: 9 AM–6 PM, Wednesday: 9 AM–6 PM, Thursday: 9 AM–6 PM, Friday: 9 AM–6 PM, Saturday: Closed, Sunday: Closed"
"Digital Blueprint, Inc.","Digital printing service, Commercial printer, Copy shop","2440 Seward Hwy #B, Anchorage, AK 99503",Anchorage,Alaska,99503,19072744060.0,digiblue@digital-blueprint.com,http://digital-blueprint.com/,5.0,42.0,https://www.facebook.com/digital-blueprint-inc-346446615430989,,,,,,,"Monday: 8 AM–6 PM, Tuesday: 8 AM–6 PM, Wednesday: 8 AM–6 PM, Thursday: 8 AM–6 PM, Friday: 8 AM–6 PM, Saturday: Closed, Sunday: Closed"
Austin 3D,3D printing service,"5910 W Tree Dr, Anchorage, AK 99507",Anchorage,Alaska,99507,19075752100.0,,,,,,,,,,,,"Monday: 7 AM–5 PM, Tuesday: 7 AM–5 PM, Wednesday: 7 AM–5 PM, Thursday: 7 AM–5 PM, Friday: 7 AM–5 PM, Saturday: 7 AM–5 PM, Sunday: Closed"
"Technipress Printing | Printing Company in Anchorage, AK","Commercial printer, Banner store, Copy shop, Digital printing service, Mailing service, Print shop","552 W 58th Ave D, Anchorage, AK 99518",Anchorage,Alaska,99518,19075618477.0,,http://www.tpress.net/,5.0,47.0,https://www.facebook.com/technipress-printing-196390180415179,,https://www.linkedin.com/in/robb-marshall-24785332,,https://lh3.googleusercontent.com/p/AF1QipMUrbuw6yr78svRDMsxITGQ52VT_j2lqI48jCB2,,,"Monday: 9 AM–4 PM, Tuesday: 9 AM–4 PM, Wednesday: 9 AM–4 PM, Thursday: 9 AM–4 PM, Friday: 9 AM–4 PM, Saturday: Closed, Sunday: Closed"
Office Depot,"Office supply store, Business to business service, Computer consultant, Computer store, Copy shop, Furniture store, Mailing service, School supply store, Shredding service, Used office furniture store","201 E 6th Ave, Anchorage, AK 99501",Anchorage,Alaska,99501,19072777470.0,,https://www.officedepot.com/storelocator/ak/anchorage/office-depot-557?utm_source=google&utm_medium=organic&utm_campaign=gmb_557_website_retail,4.4,269.0,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npPXDBpYWn4thvs4iWorjktSxB7lv55yF7fUs6eVKKEKUoKbJ5GceCchtlYvWRV-9UHsZI_zXmbdqfJeDPdY3XtRL_pq-Z95ejUdMJ0GkHIORyHWuvMlqZUQY_I7YNMoDQmr3dY,"Chain selling office & school supplies, electronics & furniture (most featuring a copy center).","Standby for office & school supplies Chain selling office & school supplies, electronics & furniture (most featuring a copy center).","Monday: 8 AM–7 PM, Tuesday: 8 AM–7 PM, Wednesday: 8 AM–7 PM, Thursday: 8 AM–7 PM, Friday: 8 AM–7 PM, Saturday: 10 AM–6 PM, Sunday: 10 AM–6 PM"
Chinook Printing Co,"Print shop, Commercial printer, Engraver, Graphic designer, Professional services, Rubber stamp store","639 W International Airport Rd #34, Anchorage, AK 99518",Anchorage,Alaska,99518,19072767354.0,info@chinookprinting.com,http://www.chinookprinting.com/,5.0,8.0,,,,,,,,"Monday: 8:30 AM–4 PM, Tuesday: 8:30 AM–4 PM, Wednesday: 8:30 AM–4 PM, Thursday: 8:30 AM–4 PM, Friday: Closed, Saturday: Closed, Sunday: Closed"
J & J 3D Printing Services LLC.,"3D printing service, Plastic fabrication company","9 Gildner Rd, Central Square, NY 13036",Central Square,New York,13036,13152406659.0,jj3dprinting123@gmail.com,https://sites.google.com/view/jj3dprinting/home,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerSYH2YFmDJqI0EiMuvkDExJKKpuz-4RhW4JzRNXfSD61HVyFILQxIcCAxXyRNs4vnxz6Hb-TVeTBI28z-MU1tfMKLqr4d5MxZchOxtlG-_FIVaZVrNKGH-J3cYzvlpe1msizHZVw,,,"Monday: 4–10 PM, Tuesday: 4–10 PM, Wednesday: 4–10 PM, Thursday: 4–10 PM, Friday: 4–10 PM, Saturday: 9 AM–10 PM, Sunday: 9 AM–10 PM"
Sid 3D prints,3D printing service,"4331 Poseidon Cir, Liverpool, NY 13090",Liverpool,New York,13090,13159202265.0,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,
3dAnyPrints,3D printing service,"7 Carter Dr, Hannibal, NY 13074",Hannibal,New York,13074,13157660766.0,,https://3danyprint.myshopify.com/,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerrt_Nv-uCeSUDiFFoeKCKkwsFLTOxe-kPk-6Nm521H7zct3EpBHuFVuzRJcTz9MXBJoYqQvFATxEG6HsXU0AWt1ThQ02p0s_Js1szbkEEej9TXMBjcphhA9qGMc7JWEoCVIh1MUIkrOwjb,,,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: 12 AM–8 PM, Sunday: 12 AM–8 PM"
CNY3DPRINTING,3D printing service,"8 Adler Dr, East Syracuse, NY 13057",East Syracuse,New York,13057,13155756970.0,,,,,,,,,,,,
Granite Craft 3D,3D printing service,"1234 Box St, Pulaski, NY 13142",Pulaski,New York,13142,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,
CatScootz 3d Prints & Novelties,3D printing service,"Fingerlakes Mall, 1579 Clark Street Rd Suite E-3, Auburn, NY 13021",Auburn,New York,13021,13155151262.0,catman25@gmail.com,https://catscootz.com/,4.3,6.0,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweroXp5McxB-MAqgqAbSFQasrabW57I6OnzJuoygq9YdwieflEoxC6PLzsQh1qOXBM5GpolHmEKFo9Z-z_ztR2AbVQXMkat2GJhLINw5xYDV1Ug2w8WVBlcKPM744LxII9UvTg-w,,,"Monday: Closed, Tuesday: 10 AM–7 PM, Wednesday: 10 AM–7 PM, Thursday: 10 AM–7 PM, Friday: 10 AM–7 PM, Saturday: 10 AM–7 PM, Sunday: 11 AM–5 PM"
PrintDesk3D,3D printing service,"313 Wiley Rd, Savannah, NY 13146",Savannah,New York,13146,13155731518.0,,https://printdesk3d.etsy.com/,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,
HBP 3D,3D printing service,"6697 Elrod Rd, Rowland, NC 28383",Rowland,North Carolina,28383,19104895147.0,,,4.8,4.0,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqpXOZJbqXXfkJ7At4FqhTUcFmYdWHBvq5cTqe6jHxny5S--m3s9xnd92aZ1d9kk2JmQP5cLbMDjwXfAuGPAPKXimWqCUIzvDkHdIlKf-d82R3DWPvSfDgMnh9mOpXwmPnLLo9B,,,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours"
Master 3D Printing – Jewelry 3D Printing Services in Los Angeles,"3D printing service, Jewelry designer, Jewelry manufacturer","510 W 6th St Suite 523, Los Angeles, CA 90014",Los Angeles,California,90014,12138789398.0,print@master3dprinting.com,https://www.master3dprinting.com/,4.8,23.0,https://www.facebook.com/profile.php,https://www.instagram.com/master3dprinting,,,,,,"Monday: 9 AM–6 PM, Tuesday: 9 AM–6 PM, Wednesday: 9 AM–6 PM, Thursday: 9 AM–6 PM, Friday: 9 AM–6 PM, Saturday: Closed, Sunday: Closed"
Propel Print,"Commercial printer, Banner store, Embroidery service, Print shop, Promotional products supplier, Screen printer, Sign shop","2513 E Gage Ave, Huntington Park, CA 90255",Huntington Park,California,90255,13235897850.0,filler@godaddy.com,http://www.propelprint.com/,4.9,51.0,https://www.facebook.com/191232614278526,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrnM6si9lQS1FgJvSyCMudsO3zvokBz1iNvT44H9WXac8lMpfRNH5UHcMt4zkyo-Hooz4PMzC4aFxTXF60efq2l2eWudXNQBvCOtnvjLhwRuXDtLRll09Kr5y7SuriH1ktVfn5u,,,"Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM, Saturday: Closed, Sunday: Closed"
Prozix - 3D Printing & Scanning Services,"3D printing service, Manufacturer, Store","1154 E Artesia Blvd, Long Beach, CA 90805",Long Beach,California,90805,15623167187.0,support@prozix.com,https://www.prozix.com/,4.9,29.0,,,,,,,,"Monday: 9 AM–4 PM, Tuesday: 9 AM–4 PM, Wednesday: 9 AM–4 PM, Thursday: 9 AM–4 PM, Friday: 9 AM–2 PM, Saturday: Closed, Sunday: Closed"
"4u design, inc","Digital printer, Dye store, 3D printing service","5723 Alba St, Los Angeles, CA 90058",Los Angeles,California,90058,12137605777.0,contact@4udesigninc.com,http://www.4udesigninc.com/,,,https://www.facebook.com/4u-design-inc-105023542309890,,,,,,,"Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM, Saturday: Closed, Sunday: Closed"
